create table test (
	id INT,
	first_name VARCHAR(50),
	last_name VARCHAR(50),
	email VARCHAR(50),
	country VARCHAR(50)
);
insert into test (id, first_name, last_name, email, country) values (1, 'Zolly', 'Jatczak', 'zjatczak0@jimdo.com', 'Russia');
insert into test (id, first_name, last_name, email, country) values (83, 'Berty', 'Danilchenko', 'bdanilchenko2a@telegraph.co.uk', 'China');
insert into test (id, first_name, last_name, email, country) values (84, 'Jemimah', 'Craggs', 'jcraggs2b@ameblo.jp', 'Armenia');
insert into test (id, first_name, last_name, email, country) values (85, 'Mychal', 'Storm', 'mstorm2c@ihg.com', 'China');
insert into test (id, first_name, last_name, email, country) values (86, 'Inger', 'Maypole', 'imaypole2d@joomla.org', 'Croatia');
insert into test (id, first_name, last_name, email, country) values (87, 'Konstanze', 'Mc Cahey', 'kmccahey2e@house.gov', 'China');
insert into test (id, first_name, last_name, email, country) values (88, 'Carney', 'Bundy', 'cbundy2f@scientificamerican.com', 'Ireland');
insert into test (id, first_name, last_name, email, country) values (89, 'Robert', 'Bramstom', 'rbramstom2g@istockphoto.com', 'Philippines');
insert into test (id, first_name, last_name, email, country) values (90, 'Sloan', 'Skaif', 'sskaif2h@skype.com', 'Peru');
insert into test (id, first_name, last_name, email, country) values (91, 'Dusty', 'Pinke', 'dpinke2i@fc2.com', 'China');
insert into test (id, first_name, last_name, email, country) values (92, 'Pepillo', 'Gallally', 'pgallally2j@shareasale.com', 'Vietnam');
insert into test (id, first_name, last_name, email, country) values (93, 'Marmaduke', 'Caskey', 'mcaskey2k@printfriendly.com', 'Peru');
insert into test (id, first_name, last_name, email, country) values (94, 'Adelina', 'Fleg', 'afleg2l@alibaba.com', 'United States');
insert into test (id, first_name, last_name, email, country) values (95, 'Thia', 'Imorts', 'timorts2m@chronoengine.com', 'Indonesia');
insert into test (id, first_name, last_name, email, country) values (96, 'Aubrey', 'Klazenga', 'aklazenga2n@seattletimes.com', 'Indonesia');
insert into test (id, first_name, last_name, email, country) values (97, 'Nichole', 'Reinert', 'nreinert2o@angelfire.com', 'China');
insert into test (id, first_name, last_name, email, country) values (98, 'Scarlet', 'Cartledge', 'scartledge2p@accuweather.com', 'China');
insert into test (id, first_name, last_name, email, country) values (99, 'Flossy', 'Flintoff', 'fflintoff2q@unesco.org', 'Cyprus');
insert into test (id, first_name, last_name, email, country) values (100, 'Jenna', 'Fonzo', 'jfonzo2r@weebly.com', 'Philippines');
